country,year,population,Totale
Norway,1957,3491938,3493895
Norway,1962,3638919,3640881
Norway,1967,3786019,3787986
Norway,1972,3933004,3934976
Norway,1977,4043205,4045182
Norway,1982,4114787,4116769
Norway,1987,4186147,4188134
Norway,1992,4286357,4288349
Norway,1997,4405672,4407669
Norway,2002,4535591,4537593
Norway,2007,4627926,4629933
Oman,1952,507833,509785
Oman,1957,561977,563934
Oman,1962,628164,630126
Oman,1967,714775,716742
Oman,1972,829050,831022
Oman,1977,1004533,1006510
Oman,1982,1301048,1303030
Oman,1987,1593882,1595869
Oman,1992,1915208,1917200
Oman,1997,2283635,2285632
Oman,2002,2713462,2715464
Oman,2007,3204897,3206904
Pakistan,1952,41346560,41348512
Pakistan,1957,46679944,46681901
Pakistan,1962,53100671,53102633
Pakistan,1967,60641899,60643866
Pakistan,1972,69325921,69327893
Pakistan,1977,78152686,78154663
Pakistan,1982,91462088,91464070
Pakistan,1987,105186881,105188868
Pakistan,1992,120065004,120066996
Pakistan,1997,135564834,135566831
Pakistan,2002,153403524,153405526
Pakistan,2007,169270617,169272624
Panama,1952,940080,942032
Panama,1957,1063506,1065463
Panama,1962,1215725,1217687
Panama,1967,1405486,1407453
Panama,1972,1616384,1618356
Panama,1977,1839782,1841759
Panama,1982,2036305,2038287
Panama,1987,2253639,2255626
Panama,1992,2484997,2486989
Panama,1997,2734531,2736528
Panama,2002,2990875,2992877
Panama,2007,3242173,3244180
Paraguay,1952,1555876,1557828
Paraguay,1957,1770902,1772859
Paraguay,1962,2009813,2011775
Paraguay,1967,2287985,2289952
Paraguay,1972,2614104,2616076
Paraguay,1977,2984494,2986471
Paraguay,1982,3366439,3368421
Paraguay,1987,3886512,3888499
Paraguay,1992,4483945,4485937
Paraguay,1997,5154123,5156120
Paraguay,2002,5884491,5886493
Paraguay,2007,6667147,6669154
Peru,1952,8025700,8027652
Peru,1957,9146100,9148057
Peru,1962,10516500,10518462
Peru,1967,12132200,12134167
Peru,1972,13954700,13956672
Peru,1977,15990099,15992076
Peru,1982,18125129,18127111
Peru,1987,20195924,20197911
Peru,1992,22430449,22432441
Peru,1997,24748122,24750119
Peru,2002,26769436,26771438
Peru,2007,28674757,28676764
Philippines,1952,22438691,22440643
Philippines,1957,26072194,26074151
Philippines,1962,30325264,30327226
Philippines,1967,35356600,35358567
Philippines,1972,40850141,40852113
Philippines,1977,46850962,46852939
Philippines,1982,53456774,53458756
Philippines,1987,60017788,60019775
Philippines,1992,67185766,67187758
Philippines,1997,75012988,75014985
Philippines,2002,82995088,82997090
Philippines,2007,91077287,91079294
Poland,1952,25730551,25732503
Poland,1957,28235346,28237303
Poland,1962,30329617,30331579
Poland,1967,31785378,31787345
Poland,1972,33039545,33041517
Poland,1977,34621254,34623231
Poland,1982,36227381,36229363
Poland,1987,37740710,37742697
Poland,1992,38370697,38372689
Poland,1997,38654957,38656954
Poland,2002,38625976,38627978
Poland,2007,38518241,38520248
Portugal,1952,8526050,8528002
Portugal,1957,8817650,8819607
Portugal,1962,9019800,9021762
Portugal,1967,9103000,9104967
Portugal,1972,8970450,8972422
Portugal,1977,9662600,9664577
Portugal,1982,9859650,9861632
Portugal,1987,9915289,9917276
Portugal,1992,9927680,9929672
Portugal,1997,10156415,10158412
Portugal,2002,10433867,10435869
Portugal,2007,10642836,10644843
Puerto Rico,1952,2227000,2228952
Puerto Rico,1957,2260000,2261957
Puerto Rico,1962,2448046,2450008
Puerto Rico,1967,2648961,2650928
Puerto Rico,1972,2847132,2849104
Puerto Rico,1977,3080828,3082805
Puerto Rico,1982,3279001,3280983
Puerto Rico,1987,3444468,3446455
Puerto Rico,1992,3585176,3587168
Puerto Rico,1997,3759430,3761427
Puerto Rico,2002,3859606,3861608
Puerto Rico,2007,3942491,3944498
Reunion,1952,257700,259652
Reunion,1957,308700,310657
Reunion,1962,358900,360862
Reunion,1967,414024,415991
Reunion,1972,461633,463605
Reunion,1977,492095,494072
Reunion,1982,517810,519792
Reunion,1987,562035,564022
Reunion,1992,622191,624183
Reunion,1997,684810,686807
Reunion,2002,743981,745983
Reunion,2007,798094,800101
Romania,1952,16630000,16631952
Romania,1957,17829327,17831284
Romania,1962,18680721,18682683
Romania,1967,19284814,19286781
Romania,1972,20662648,20664620
Romania,1977,21658597,21660574
Romania,1982,22356726,22358708
Romania,1987,22686371,22688358
Romania,1992,22797027,22799019
Romania,1997,22562458,22564455
Romania,2002,22404337,22406339
Romania,2007,22276056,22278063
Rwanda,1952,2534927,2536879
Rwanda,1957,2822082,2824039
Rwanda,1962,3051242,3053204
Rwanda,1967,3451079,3453046
Rwanda,1972,3992121,3994093
Rwanda,1977,4657072,4659049
Rwanda,1982,5507565,5509547
Rwanda,1987,6349365,6351352
Rwanda,1992,7290203,7292195
Rwanda,1997,7212583,7214580
Rwanda,2002,7852401,7854403
Rwanda,2007,8860588,8862595
Sao Tome and Principe,1952,60011,61963
Sao Tome and Principe,1957,61325,63282
Sao Tome and Principe,1962,65345,67307
Sao Tome and Principe,1967,70787,72754
Sao Tome and Principe,1972,76595,78567
Sao Tome and Principe,1977,86796,88773
Sao Tome and Principe,1982,98593,100575
Sao Tome and Principe,1987,110812,112799
Sao Tome and Principe,1992,125911,127903
Sao Tome and Principe,1997,145608,147605
Sao Tome and Principe,2002,170372,172374
Sao Tome and Principe,2007,199579,201586
Saudi Arabia,1952,4005677,4007629
Saudi Arabia,1957,4419650,4421607
Saudi Arabia,1962,4943029,4944991
Saudi Arabia,1967,5618198,5620165
Saudi Arabia,1972,6472756,6474728
Saudi Arabia,1977,8128505,8130482
Saudi Arabia,1982,11254672,11256654
Saudi Arabia,1987,14619745,14621732
Saudi Arabia,1992,16945857,16947849
Saudi Arabia,1997,21229759,21231756
Saudi Arabia,2002,24501530,24503532
Saudi Arabia,2007,27601038,27603045
Senegal,1952,2755589,2757541
Senegal,1957,3054547,3056504
Senegal,1962,3430243,3432205
Senegal,1967,3965841,3967808
Senegal,1972,4588696,4590668
Senegal,1977,5260855,5262832
Senegal,1982,6147783,6149765
Senegal,1987,7171347,7173334
Senegal,1992,8307920,8309912
Senegal,1997,9535314,9537311
Senegal,2002,10870037,10872039
Senegal,2007,12267493,12269500
Serbia,1952,6860147,6862099
Serbia,1957,7271135,7273092
Serbia,1962,7616060,7618022
Serbia,1967,7971222,7973189
Serbia,1972,8313288,8315260
Serbia,1977,8686367,8688344
Serbia,1982,9032824,9034806
Serbia,1987,9230783,9232770
Serbia,1992,9826397,9828389
Serbia,1997,10336594,10338591
Serbia,2002,10111559,10113561
Serbia,2007,10150265,10152272
Sierra Leone,1952,2143249,2145201
Sierra Leone,1957,2295678,2297635
Sierra Leone,1962,2467895,2469857
Sierra Leone,1967,2662190,2664157
Sierra Leone,1972,2879013,2880985
Sierra Leone,1977,3140897,3142874
Sierra Leone,1982,3464522,3466504
Sierra Leone,1987,3868905,3870892
Sierra Leone,1992,4260884,4262876
Sierra Leone,1997,4578212,4580209
Sierra Leone,2002,5359092,5361094
Sierra Leone,2007,6144562,6146569
Singapore,1952,1127000,1128952
Singapore,1957,1445929,1447886
Singapore,1962,1750200,1752162
Singapore,1967,1977600,1979567
Singapore,1972,2152400,2154372
Singapore,1977,2325300,2327277
Singapore,1982,2651869,2653851
Singapore,1987,2794552,2796539
Singapore,1992,3235865,3237857
Singapore,1997,3802309,3804306
Singapore,2002,4197776,4199778
Singapore,2007,4553009,4555016
Slovak Republic,1952,3558137,3560089
Slovak Republic,1957,3844277,3846234
Slovak Republic,1962,4237384,4239346
Slovak Republic,1967,4442238,4444205
Slovak Republic,1972,4593433,4595405
Slovak Republic,1977,4827803,4829780
Slovak Republic,1982,5048043,5050025
Slovak Republic,1987,5199318,5201305
Slovak Republic,1992,5302888,5304880
Slovak Republic,1997,5383010,5385007
Slovak Republic,2002,5410052,5412054
Slovak Republic,2007,5447502,5449509
Slovenia,1952,1489518,1491470
Slovenia,1957,1533070,1535027
Slovenia,1962,1582962,1584924
Slovenia,1967,1646912,1648879
Slovenia,1972,1694510,1696482
Slovenia,1977,1746919,1748896
Slovenia,1982,1861252,1863234
Slovenia,1987,1945870,1947857
Slovenia,1992,1999210,2001202
Slovenia,1997,2011612,2013609
Slovenia,2002,2011497,2013499
Slovenia,2007,2009245,2011252
Somalia,1952,2526994,2528946
Somalia,1957,2780415,2782372
Somalia,1962,3080153,3082115
Somalia,1967,3428839,3430806
Somalia,1972,3840161,3842133
Somalia,1977,4353666,4355643
Somalia,1982,5828892,5830874
Somalia,1987,6921858,6923845
Somalia,1992,6099799,6101791
Somalia,1997,6633514,6635511
Somalia,2002,7753310,7755312
Somalia,2007,9118773,9120780
South Africa,1952,14264935,14266887
South Africa,1957,16151549,16153506
South Africa,1962,18356657,18358619
South Africa,1967,20997321,20999288
South Africa,1972,23935810,23937782
South Africa,1977,27129932,27131909
South Africa,1982,31140029,31142011
South Africa,1987,35933379,35935366
South Africa,1992,39964159,39966151
South Africa,1997,42835005,42837002
South Africa,2002,44433622,44435624
South Africa,2007,43997828,43999835
Spain,1952,28549870,28551822
Spain,1957,29841614,29843571
Spain,1962,31158061,31160023
Spain,1967,32850275,32852242
Spain,1972,34513161,34515133
Spain,1977,36439000,36440977
Spain,1982,37983310,37985292
Spain,1987,38880702,38882689
Spain,1992,39549438,39551430
Spain,1997,39855442,39857439
Spain,2002,40152517,40154519
Spain,2007,40448191,40450198
Sri Lanka,1952,7982342,7984294
Sri Lanka,1957,9128546,9130503
Sri Lanka,1962,10421936,10423898
Sri Lanka,1967,11737396,11739363
Sri Lanka,1972,13016733,13018705
Sri Lanka,1977,14116836,14118813
Sri Lanka,1982,15410151,15412133
Sri Lanka,1987,16495304,16497291
Sri Lanka,1992,17587060,17589052
Sri Lanka,1997,18698655,18700652
Sri Lanka,2002,19576783,19578785
Sri Lanka,2007,20378239,20380246
Sudan,1952,8504667,8506619
Sudan,1957,9753392,9755349
Sudan,1962,11183227,11185189
Sudan,1967,12716129,12718096
Sudan,1972,14597019,14598991
Sudan,1977,17104986,17106963
Sudan,1982,20367053,20369035
Sudan,1987,24725960,24727947
Sudan,1992,28227588,28229580
Sudan,1997,32160729,32162726
Sudan,2002,37090298,37092300
Sudan,2007,42292929,42294936
Swaziland,1952,290243,292195
Swaziland,1957,326741,328698
Swaziland,1962,370006,371968
Swaziland,1967,420690,422657
Swaziland,1972,480105,482077
Swaziland,1977,551425,553402
Swaziland,1982,649901,651883
Swaziland,1987,779348,781335
Swaziland,1992,962344,964336
Swaziland,1997,1054486,1056483
Swaziland,2002,1130269,1132271
Swaziland,2007,1133066,1135073
Sweden,1952,7124673,7126625
Sweden,1957,7363802,7365759
Sweden,1962,7561588,7563550
Sweden,1967,7867931,7869898
Sweden,1972,8122293,8124265
Sweden,1977,8251648,8253625
Sweden,1982,8325260,8327242
Sweden,1987,8421403,8423390
Sweden,1992,8718867,8720859
Sweden,1997,8897619,8899616
Sweden,2002,8954175,8956177
Sweden,2007,9031088,9033095
Switzerland,1952,4815000,4816952
Switzerland,1957,5126000,5127957
Switzerland,1962,5666000,5667962
Switzerland,1967,6063000,6064967
Switzerland,1972,6401400,6403372
Switzerland,1977,6316424,6318401
Switzerland,1982,6468126,6470108
Switzerland,1987,6649942,6651929
Switzerland,1992,6995447,6997439
Switzerland,1997,7193761,7195758
Switzerland,2002,7361757,7363759
Switzerland,2007,7554661,7556668
Syria,1952,3661549,3663501
Syria,1957,4149908,4151865
Syria,1962,4834621,4836583
Syria,1967,5680812,5682779
Syria,1972,6701172,6703144
Syria,1977,7932503,7934480
Syria,1982,9410494,9412476
Syria,1987,11242847,11244834
Syria,1992,13219062,13221054
Syria,1997,15081016,15083013
Syria,2002,17155814,17157816
Syria,2007,19314747,19316754
Taiwan,1952,8550362,8552314
Taiwan,1957,10164215,10166172
Taiwan,1962,11918938,11920900
Taiwan,1967,13648692,13650659
Taiwan,1972,15226039,15228011
Taiwan,1977,16785196,16787173
Taiwan,1982,18501390,18503372
Taiwan,1987,19757799,19759786
Taiwan,1992,20686918,20688910
Taiwan,1997,21628605,21630602
Taiwan,2002,22454239,22456241
Taiwan,2007,23174294,23176301
Tanzania,1952,8322925,8324877
Tanzania,1957,9452826,9454783
Tanzania,1962,10863958,10865920
Tanzania,1967,12607312,12609279
Tanzania,1972,14706593,14708565
Tanzania,1977,17129565,17131542
Tanzania,1982,19844382,19846364
Tanzania,1987,23040630,23042617
Tanzania,1992,26605473,26607465
Tanzania,1997,30686889,30688886
Tanzania,2002,34593779,34595781
Tanzania,2007,38139640,38141647
Thailand,1952,21289402,21291354
Thailand,1957,25041917,25043874
Thailand,1962,29263397,29265359
Thailand,1967,34024249,34026216
Thailand,1972,39276153,39278125
Thailand,1977,44148285,44150262
Thailand,1982,48827160,48829142
Thailand,1987,52910342,52912329
Thailand,1992,56667095,56669087
Thailand,1997,60216677,60218674
Thailand,2002,62806748,62808750
Thailand,2007,65068149,65070156
Togo,1952,1219113,1221065
Togo,1957,1357445,1359402
Togo,1962,1528098,1530060
Togo,1967,1735550,1737517
Togo,1972,2056351,2058323
Togo,1977,2308582,2310559
Togo,1982,2644765,2646747
Togo,1987,3154264,3156251
Togo,1992,3747553,3749545
Togo,1997,4320890,4322887
Togo,2002,4977378,4979380
Togo,2007,5701579,5703586
Trinidad and Tobago,1952,662850,664802
Trinidad and Tobago,1957,764900,766857
Trinidad and Tobago,1962,887498,889460
Trinidad and Tobago,1967,960155,962122
Trinidad and Tobago,1972,975199,977171
Trinidad and Tobago,1977,1039009,1040986
Trinidad and Tobago,1982,1116479,1118461
Trinidad and Tobago,1987,1191336,1193323
Trinidad and Tobago,1992,1183669,1185661
Trinidad and Tobago,1997,1138101,1140098
Trinidad and Tobago,2002,1101832,1103834
Trinidad and Tobago,2007,1056608,1058615
Tunisia,1952,3647735,3649687
Tunisia,1957,3950849,3952806
Tunisia,1962,4286552,4288514
Tunisia,1967,4786986,4788953
Tunisia,1972,5303507,5305479
Tunisia,1977,6005061,6007038
Tunisia,1982,6734098,6736080
Tunisia,1987,7724976,7726963
Tunisia,1992,8523077,8525069
Tunisia,1997,9231669,9233666
Tunisia,2002,9770575,9772577
Tunisia,2007,10276158,10278165
Turkey,1952,22235677,22237629
Turkey,1957,25670939,25672896
Turkey,1962,29788695,29790657
Turkey,1967,33411317,33413284
Turkey,1972,37492953,37494925
Turkey,1977,42404033,42406010
Turkey,1982,47328791,47330773
Turkey,1987,52881328,52883315
Turkey,1992,58179144,58181136
Turkey,1997,63047647,63049644
Turkey,2002,67308928,67310930
Turkey,2007,71158647,71160654
Uganda,1952,5824797,5826749
Uganda,1957,6675501,6677458
Uganda,1962,7688797,7690759
Uganda,1967,8900294,8902261
Uganda,1972,10190285,10192257
Uganda,1977,11457758,11459735
Uganda,1982,12939400,12941382
Uganda,1987,15283050,15285037
Uganda,1992,18252190,18254182
Uganda,1997,21210254,21212251
Uganda,2002,24739869,24741871
Uganda,2007,29170398,29172405
United Kingdom,1952,50430000,50431952
United Kingdom,1957,51430000,51431957
United Kingdom,1962,53292000,53293962
United Kingdom,1967,54959000,54960967
United Kingdom,1972,56079000,56080972
United Kingdom,1977,56179000,56180977
United Kingdom,1982,56339704,56341686
United Kingdom,1987,56981620,56983607
United Kingdom,1992,57866349,57868341
United Kingdom,1997,58808266,58810263
United Kingdom,2002,59912431,59914433
United Kingdom,2007,60776238,60778245
United States,1952,157553000,157554952
United States,1957,171984000,171985957
United States,1962,186538000,186539962
United States,1967,198712000,198713967
United States,1972,209896000,209897972
United States,1977,220239000,220240977
United States,1982,232187835,232189817
United States,1987,242803533,242805520
United States,1992,256894189,256896181
United States,1997,272911760,272913757
United States,2002,287675526,287677528
United States,2007,301139947,301141954
Uruguay,1952,2252965,2254917
Uruguay,1957,2424959,2426916
Uruguay,1962,2598466,2600428
Uruguay,1967,2748579,2750546
Uruguay,1972,2829526,2831498
Uruguay,1977,2873520,2875497
Uruguay,1982,2953997,2955979
Uruguay,1987,3045153,3047140
Uruguay,1992,3149262,3151254
Uruguay,1997,3262838,3264835
Uruguay,2002,3363085,3365087
Uruguay,2007,3447496,3449503
Venezuela,1952,5439568,5441520
Venezuela,1957,6702668,6704625
Venezuela,1962,8143375,8145337
Venezuela,1967,9709552,9711519
Venezuela,1972,11515649,11517621
Venezuela,1977,13503563,13505540
Venezuela,1982,15620766,15622748
Venezuela,1987,17910182,17912169
Venezuela,1992,20265563,20267555
Venezuela,1997,22374398,22376395
Venezuela,2002,24287670,24289672
Venezuela,2007,26084662,26086669
Vietnam,1952,26246839,26248791
Vietnam,1957,28998543,29000500
Vietnam,1962,33796140,33798102
Vietnam,1967,39463910,39465877
Vietnam,1972,44655014,44656986
Vietnam,1977,50533506,50535483
Vietnam,1982,56142181,56144163
Vietnam,1987,62826491,62828478
Vietnam,1992,69940728,69942720
Vietnam,1997,76048996,76050993
Vietnam,2002,80908147,80910149
Vietnam,2007,85262356,85264363
West Bank and Gaza,1952,1030585,1032537
West Bank and Gaza,1957,1070439,1072396
West Bank and Gaza,1962,1133134,1135096
West Bank and Gaza,1967,1142636,1144603
West Bank and Gaza,1972,1089572,1091544
West Bank and Gaza,1977,1261091,1263068
West Bank and Gaza,1982,1425876,1427858
West Bank and Gaza,1987,1691210,1693197
West Bank and Gaza,1992,2104779,2106771
West Bank and Gaza,1997,2826046,2828043
West Bank and Gaza,2002,3389578,3391580
West Bank and Gaza,2007,4018332,4020339
"Yemen, Rep.",1952,4963829,4965781
"Yemen, Rep.",1957,5498090,5500047
"Yemen, Rep.",1962,6120081,6122043
"Yemen, Rep.",1967,6740785,6742752
"Yemen, Rep.",1972,7407075,7409047
"Yemen, Rep.",1977,8403990,8405967
"Yemen, Rep.",1982,9657618,9659600
"Yemen, Rep.",1987,11219340,11221327
"Yemen, Rep.",1992,13367997,13369989
"Yemen, Rep.",1997,15826497,15828494
"Yemen, Rep.",2002,18701257,18703259
"Yemen, Rep.",2007,22211743,22213750
Zambia,1952,2672000,2673952
Zambia,1957,3016000,3017957
Zambia,1962,3421000,3422962
Zambia,1967,3900000,3901967
Zambia,1972,4506497,4508469
Zambia,1977,5216550,5218527
Zambia,1982,6100407,6102389
Zambia,1987,7272406,7274393
Zambia,1992,8381163,8383155
Zambia,1997,9417789,9419786
Zambia,2002,10595811,10597813
Zambia,2007,11746035,11748042
Zimbabwe,1952,3080907,3082859
Zimbabwe,1957,3646340,3648297
Zimbabwe,1962,4277736,4279698
Zimbabwe,1967,4995432,4997399
Zimbabwe,1972,5861135,5863107
Zimbabwe,1977,6642107,6644084
Zimbabwe,1982,7636524,7638506
Zimbabwe,1987,9216418,9218405
Zimbabwe,1992,10704340,10706332
Zimbabwe,1997,11404948,11406945
Zimbabwe,2002,11926563,11928565
Zimbabwe,2007,12311143,12313150
